WORK_STRAM,JOB_NAME,JOB_INIT_DATE,FREQUENCY,USED_TOOL,new_name,SESSION_NAME
STG,m_STG_DWH_LOAD_TFK070AT,04-JUL-18,Daily,INFORMATICA,TFK070AT,s_m_STG_TRM_TFK070AT
STG,m_STG_DWH_LOAD_TFK070PT,17-DEC-18,Daily,INFORMATICA,TFK070PT,s_m_STG_TRM_TFK070PT
STG,m_STG_DWH_LOAD_TFK080BT,08-APR-19,Daily,INFORMATICA,TFK080BT,s_m_STG_TRM_TFK080BT
STG,m_STG_DWH_LOAD_TFK080FT,08-APR-19,Daily,INFORMATICA,TFK080FT,s_m_STG_TRM_TFK080FT
STG,m_STG_DWH_LOAD_TFKHVOT,25-NOV-18,Daily,INFORMATICA,TFKHVOT,s_m_STG_TRM_TFKHVOT
STG,m_STG_DWH_LOAD_TFKPERIOD,04-JUL-18,Daily,INFORMATICA,TFKPERIOD,s_m_STG_TRM_TFKPERIOD
STG,m_STG_DWH_LOAD_TFKPERIODICITY,07-OCT-18,Daily,INFORMATICA,TFKPERIODICITY,s_m_STG_TRM_TFKPERIODICITY
STG,m_STG_DWH_LOAD_TFKPERIODICITYT,07-OCT-18,Daily,INFORMATICA,TFKPERIODICITYT,s_m_STG_TRM_TFKPERIODICITYT
STG,m_STG_DWH_LOAD_TFKTVOT,25-NOV-18,Daily,INFORMATICA,TFKTVOT,s_m_STG_TRM_TFKTVOT
STG,m_STG_DWH_LOAD_TFK_INCORRT,04-JUL-18,Daily,INFORMATICA,TFK_INCORRT,s_m_STG_TRM_TFK_INCORRT
STG,m_STG_DWH_LOAD_TFMCA007T,04-JUL-18,Daily,INFORMATICA,TFMCA007T,s_m_STG_TRM_TFMCA007T
STG,m_STG_DWH_LOAD_TFMCA_AMD_SRCT,04-JUL-18,Daily,INFORMATICA,TFMCA_AMD_SRCT,s_m_STG_TRM_TFMCA_AMD_SRCT
STG,m_STG_DWH_LOAD_TFMCA_FORMPROC,04-JUL-18,Daily,INFORMATICA,TFMCA_FORMPROC,s_m_STG_TRM_TFMCA_FORMPROC
STG,m_STG_DWH_LOAD_TFMCA_FORMPROCT,04-JUL-18,Daily,INFORMATICA,TFMCA_FORMPROCT,s_m_STG_TRM_TFMCA_FORMPROCT
STG,m_STG_DWH_LOAD_TFMCA_FPF_FBT,04-JUL-18,Daily,INFORMATICA,TFMCA_FPF_FBT,s_m_STG_TRM_TFMCA_FPF_FBT
STG,m_STG_DWH_LOAD_TFMCA_FPF_FBTT,04-JUL-18,Daily,INFORMATICA,TFMCA_FPF_FBTT,s_m_STG_TRM_TFMCA_FPF_FBTT
STG,m_STG_DWH_LOAD_TFMCA_FPF_FBTTRA,04-JUL-18,Daily,INFORMATICA,TFMCA_FPF_FBTTRA,s_m_STG_TRM_TFMCA_FPF_FBTTRA
STG,m_STG_DWH_LOAD_TFMCA_FPF_TRANTT,04-JUL-18,Daily,INFORMATICA,TFMCA_FPF_TRANTT,s_m_STG_TRM_TFMCA_FPF_TRANTT
STG,m_STG_DWH_LOAD_TFMCA_FPF_WFRSN,04-JUL-18,Daily,INFORMATICA,TFMCA_FPF_WFRSN,s_m_STG_TRM_TFMCA_FPF_WFRSN
STG,m_STG_DWH_LOAD_TFMCA_FPF_WFRSNT,04-JUL-18,Daily,INFORMATICA,TFMCA_FPF_WFRSNT,s_m_STG_TRM_TFMCA_FPF_WFRSNT
STG,m_STG_DWH_LOAD_TFMCA_INCORR_PER,04-JUL-18,Daily,INFORMATICA,TFMCA_INCORR_PER,s_m_STG_TRM_TFMCA_INCORR_PER
STG,m_STG_DWH_LOAD_TFMCA_REVTYPE,04-JUL-18,Daily,INFORMATICA,TFMCA_REVTYPE,s_m_STG_TRM_TFMCA_REVTYPE
STG,m_STG_DWH_LOAD_TFMCA_REVTYPET,04-JUL-18,Daily,INFORMATICA,TFMCA_REVTYPET,s_m_STG_TRM_TFMCA_REVTYPET
STG,m_STG_DWH_LOAD_TJ02T,04-JUL-18,Daily,INFORMATICA,TJ02T,s_m_STG_TRM_TJ02T
STG,m_STG_DWH_LOAD_TJ30T,04-JUL-18,Daily,INFORMATICA,TJ30T,s_m_STG_TRM_TJ30T
STG,m_STG_DWH_LOAD_TSACT,04-JUL-18,Daily,INFORMATICA,TSACT,s_m_STG_TRM_TSACT
STG,m_STG_DWH_LOAD_TSAD2,04-JUL-18,Daily,INFORMATICA,TSAD2,s_m_STG_TRM_TSAD2
STG,m_STG_DWH_LOAD_TSAD3T,04-JUL-18,Daily,INFORMATICA,TSAD3T,s_m_STG_TRM_TSAD3T
